Carrera,Estudiantes femeninos,Estudiantes masculinos,Cuatrimestre,Año,,,,
Tecnólogo en Redes de Información,38,252,Mayo - Agosto,2021,,,,
Tecnólogo en Sonido,120,565,Mayo - Agosto,2021,,,,
Tecnólogo en Seguridad Informática,8,88,Mayo - Agosto,2021,,,,
Tecnólogo en Desarrollo de Simulaciones Interactivas y Videojuegos,10,40,Septiembre- Diciembre,2021,,,,
Tecnólogo en Energías Renovables,3,25,Septiembre- Diciembre,2021,,,,
Tecnólogo en Analítica y Ciencia de los Datos,15,48,Septiembre- Diciembre,2021,,,,
Tecnólogo en Diseño Industrial,30,42,Septiembre- Diciembre,2021,,,,
Tecnólogo en Dispositivos Médicos,13,15,Septiembre- Diciembre,2021,,,,
Tecnólogo en Desarrollo de Software,205,1387,Septiembre- Diciembre,2021,,,,
Tecnólogo en Telecomunicaciones,3,17,Septiembre- Diciembre,2021,,,,
Tecnólogo en Inteligencia Artificial,4,17,Septiembre- Diciembre,2021,,,,
Tecnólogo en Informática Forense,6,23,Septiembre- Diciembre,2021,,,,
Tecnólogo en Manufactura Automatizada,3,35,Septiembre- Diciembre,2021,,,,
Tecnólogo en Mecatrónica,40,363,Septiembre- Diciembre,2021,,,,
Tecnólogo en Multimedia,289,407,Septiembre- Diciembre,2021,,,,
Tecnólogo en Redes de Información,26,231,Septiembre- Diciembre,2021,,,,
Tecnólogo en Sonido,105,602,Septiembre- Diciembre,2021,,,,
Tecnólogo en Seguridad Informática,12,91,Septiembre- Diciembre,2021,,,,
Tecnólogo en Desarrollo de Simulaciones Interactivas y Videojuegos,9,63,Enero - Abril,2022,,,,
Tecnólogo en Energías Renovables,5,30,Enero - Abril,2022,,,,
Tecnólogo en Analítica y Ciencia de los Datos,19,55,Enero - Abril,2022,,,,
Tecnólogo en Diseño Industrial,38,47,Enero - Abril,2022,,,,
Tecnólogo en Dispositivos Médicos,17,16,Enero - Abril,2022,,,,
Tecnólogo en Desarrollo de Software,235,1682,Enero - Abril,2022,,,,
Tecnólogo en Telecomunicaciones,4,30,Enero - Abril,2022,,,,
Tecnólogo en Inteligencia Artificial,8,25,Enero - Abril,2022,,,,
Tecnólogo en Informática Forense,8,24,Enero - Abril,2022,,,,
