Entrenamiento,Email,Egresado,Precios US,Incluye pasantia,Primer contacto,Estatus laboral,Razon de retiro,Razon de eleccion del bootcamp,Proveedores de bootcamp,Horario de los bootcamps,Primer contacto_Instagram,Primer contacto_WhatsApp,Incluye pasantia_0,Incluye pasantia_1
Software Testing QA,gmail.com,Inscrito,299.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Martes y jueves de 6:00 pm a 8:00 pm,1.0,0.0,1.0,0.0
Software Testing QA,gmail.com,Inscrito,299.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Martes y jueves de 6:00 pm a 8:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Certificación en Python,gmail.com,Inscrito,130.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Designer UI/UX,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y jueves de 7:00 pm a 9:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Designer UI/UX,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y jueves de 7:00 pm a 9:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,Inscrito,3450.0,1,WhatsApp,1,Disponibilidad de tiempo,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miércoles y jueves",0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,Inscrito,3450.0,1,WhatsApp,1,N/A,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miércoles y jueves",0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,Inscrito,3450.0,1,WhatsApp,0,N/A,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miércoles y jueves",0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,Inscrito,3450.0,1,WhatsApp,0,N/A,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miércoles y jueves",0.0,1.0,0.0,1.0
